old_subtype_name,new_subtype_name
acinar cell carcinoma,acinar cell carcinoma
acute leukemia,acute leukemia
acute lymphoblastic leukemia,acute lymphoblastic leukemia
"acute lymphoblastic leukemia, b-cell","acute lymphoblastic leukemia, b-cell"
"acute lymphoblastic leukemia, t-cell","acute lymphoblastic leukemia, t-cell"
acute megakaryoblastic leukemia,acute megakaryoblastic leukemia
AML,acute myeloid leukemia
acute myeloid leukemia,acute myeloid leukemia
acute undifferentiated leukemia,acute undifferentiated leukemia
adenocarcinoma,adenocarcinoma
"adenocarcinoma, clear cell","adenocarcinoma, clear cell"
"adenocarcinoma, endometrioid","adenocarcinoma, endometrioid"
"adenocarcinoma, high grade serous","adenocarcinoma, high grade serous"
"adenocarcinoma, low grade serous","adenocarcinoma, low grade serous"
"adenocarcinoma, mixed","adenocarcinoma, mixed"
"adenocarcinoma, mucinous","adenocarcinoma, mucinous"
"adenocarcinoma, serous","adenocarcinoma, serous"
"adenocarcinoma, signet ring cell","adenocarcinoma, signet ring cell"
"adenocarcinoma, tubular","adenocarcinoma, tubular"
adenosquamous_carcinoma,adenosquamous carcinoma
adrenocortical adenoma,adrenocortical adenoma
adrenocortical carcinoma,adrenocortical carcinoma
ALL,acute lymphoblastic leukemia
alveolar rhabdomyosarcoma,alveolar rhabdomyosarcoma
alveolar sarcoma,alveolar sarcoma
anaplastic,anaplastic
angiosarcoma,angiosarcoma
ASPS,alveolar soft part sarcoma
astrocytoma,astrocytoma
astrocytoma_Grade_IV,astrocytoma grade IV
atl,adult t-cell leukemia
atypical teratoid rhabdoid tumor,atypical teratoid/rhabdoid tumor
ATRT,atypical teratoid/rhabdoid tumor
atypical teratoid/rhabdoid tumor,atypical teratoid/rhabdoid tumor
b-cell,b-cell
"b-cell, hodgkins","b-cell, hodgkins"
"b-cell, non-hodgkins","b-cell, non-hodgkins"
"b-cell, non-hodgkins, burkitts","b-cell, non-hodgkins, burkitts"
"b-cell, non-hodgkins, mantle cell","b-cell, non-hodgkins, mantle cell"
"b-cell, unspecified","b-cell, unspecified"
basal,basal
basal A,basal A
basal B,basal B
basal_cell_carcinoma,basal cell carcinoma
basaloid_carcinoma,basaloid carcinoma
biphasic,biphasic
bladder,bladder
bladder urothelial carcinoma,bladder urothelial carcinoma
bone,bone
breast,breast
breast_carcinoma,breast carcinoma
breast_ductal_carcinoma,breast ductal carcinoma
caecum adenocarcinoma,caecum adenocarcinoma
carcinoid,carcinoid
carcinoma,carcinoma
"carcinoma, anaplastic","carcinoma, anaplastic"
"carcinoma, brenner","carcinoma, brenner"
"carcinoma, follicular","carcinoma, follicular"
"carcinoma, papillary","carcinoma, papillary"
carcinosarcoma-malignant_mesodermal_mixed_tumour,carcinosarcoma (malignant mesodermal mixed tumor)
cervical_adenocarcinoma,cervical adenocarcinoma
cervical adenocarcinoma,cervical adenocarcinoma
cervical_carcinoma,cervical carcinoma
cervical_squamous,cervical squamous
cholangiocarcinoma,cholangiocarcinoma
"cholangiocarcinoma, extrahepatic","cholangiocarcinoma, extrahepatic"
"cholangiocarcinoma, intrahepatic","cholangiocarcinoma, intrahepatic"
chondroblastic,chondroblastic
chondrosarcoma,chondrosarcoma
choriocarcinoma,choriocarcinoma
choroid plexus carcinoma,choroid plexus carcinoma
"chronic lymphoblastic leukemia, b-cell","chronic lymphoblastic leukemia, b-cell"
CML,chronic myelogenous leukemia
chronic myelogenous leukemia,chronic myelogenous leukemia
"chronic myelogenous leukemia, blast crisis","chronic myelogenous leukemia, blast crisis"
Clear Cell Sarcoma,clear cell carcinoma
clear_cell_carcinoma,clear cell carcinoma
clear cell carcinoma,clear cell carcinoma
clear cell carcinoma of cervix,clear cell carcinoma of cervix
clear_cell_renal_cell_carcinoma,clear cell renal cell carcinoma
CLL,chronic lymphocytic leukemia
CNS germinoma,CNS germinoma
colon adenocarcinoma,colon adenocarcinoma
Colon Carcinoma,colon carcinoma
colorectal,colorectal
colorectal_adenocarcinoma,colorectal adenocarcinoma
craniopharyngioma,craniopharyngioma
cystadenocarcinoma,cystadenocarcinoma
"cystadenocarcinoma, clear cell","cystadenocarcinoma, clear cell"
"cystadenocarcinoma, endometrioid","cystadenocarcinoma, endometrioid"
"cystadenocarcinoma, high grade serous","cystadenocarcinoma, high grade serous"
"cystadenocarcinoma, mucinous","cystadenocarcinoma, mucinous"
dedifferentiated,dedifferentiated
ddlps,dedifferentiated liposarcoma
dedifferentiated liposarcoma,dedifferentiated liposarcoma
desmoplastic small round cell tumor,desmoplastic small round cell tumor
diffuse_adenocarcinoma,diffuse adenocarcinoma
diffuse_large_B_cell_lymphoma,diffuse large b-cell lymphoma
diffuse large b-cell lymphoma,diffuse large b-cell lymphoma
diffuse large B-cell lymphoma,diffuse large b-cell lymphoma
DIPG,diffuse intrinsic pontine glioma
"ductal adenocarcinoma, exocrine","ductal adenocarcinoma, exocrine"
ductal adenosquamous carcinoma,ductal adenosquamous carcinoma
"ductal adenosquamous carcinoma, exocrine","ductal adenosquamous carcinoma, exocrine"
ductal_carcinoma,ductal carcinoma
ductal_carcinoma_in_situ,ductal carcinoma in situ
duodenal adenocarcinoma,duodenal adenocarcinoma
dysembryoplastic neuroepithelial tumor,dysembryoplastic neuroepithelial tumor
embryo_carcinoma,embryo carcinoma
embryonal rhabdomyosarcoma,embryonal rhabdomyosarcoma
embryonal tumor with multilayer rosettes,embryonal tumor with multilayer rosettes
endometrial_adenocarcinoma,endometrial adenocarcinoma
endometrial adenocarcinoma,endometrial adenocarcinoma
endometrial adenosquamous carcinoma,endometrial adenosquamous carcinoma
endometrial_squamous,endometrial squamous
endometrial squamous cell carcinoma,endometrial squamous cell carcinoma
endometrial stromal sarcoma,endometrial stromal sarcoma
endometrioid_carcinoma,endometrioid carcinoma
Ependymoblastoma,ependymoblastoma
ependymoma,ependymoma
Ependymoma,ependymoma
ependymoma_Grade_III-IV,ependymoma grade III-IV
epithelioid,epithelioid
epithelioid hemangioendothelioma,epithelioid hemangioendothelioma
epithelioid sarcoma,epithelioid sarcoma
esophageal carcinoma,esophageal carcinoma
ETMR,embryonal tumor with multilayered rosettes
Ewing_sarcoma,ewing sarcoma
Ewing sarcoma,ewing sarcoma
Ewing Sarcoma,ewing sarcoma
exocrine,exocrine
Extracranial Rhabdoid,extracranial rhabdoid
fibrolamellar hepatocellular carcinoma,fibrolamellar hepatocellular carcinoma
fibromatosis,fibromatosis
fibrosarcoma,fibrosarcoma
follicular,follicular
gallbladder_adenocarcinoma,gallbladder adenocarcinoma
gastric_adenocarcinoma,gastric adenocarcinoma
gastrointestinal stromal tumor,gastrointestinal stromal tumor
glassy_cell_carcinoma,glassy cell carcinoma
glioblastoma,glioblastoma
Glioblastoma,glioblastoma
glioblastoma multiforme,glioblastoma multiforme
glioma,glioma
gliomatosis cerebri,gliomatosis cerebri
haemangiopericytic,haemangiopericytic
hepatoblastoma,hepatoblastoma
Hepatoblastoma,hepatoblastoma
hepatocellular_carcinoma,hepatocellular carcinoma
hepatocellular carcinoma,hepatocellular carcinoma
"hepatocellular carcinoma, hbs-antigen carrier","hepatocellular carcinoma, hbs-antigen carrier"
HER2 amp,HER2 amp
HER2-enriched,HER2-enriched
High-grade glioma,high-grade glioma
hodgkin_lymphoma,hodgkin lymphoma
"in collision with cholangicarcinoma, no review in spectrum","in collision with cholangicarcinoma, no review in spectrum"
infantile fibrosarcoma,infantile fibrosarcoma
INI-deficient soft tissue sarcoma NOS,INI-deficient soft tissue sarcoma NOS
